time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S.x,E.x,I.x,R1.x,beta_t.x,R0.x,time_diff.x,Rt.x,time.y.y,S.y,E.y,I.y,R1.y,beta_t.y,R0.y,time_diff.y,Rt.y
160.5,900130178730.1935,434455431433.82373,465674747296.3677,10132,20987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,1164680500581.174,728032361571.8439,436648139009.32806,9986,21105,160.9995468512246,26752,4681,9986,21105,0.3571428571428571,2.5,4.531487753922647e-4,0.6934,160.9995468512246,26752,4681,9986,21105,0.3571428571428571,2.5,4.531487753922647e-4,0.6934
161.5,1229297387083.3618,723914798261.4054,505382588821.9534,9827,21227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,1497659797459.1062,960298535158.7977,537361262300.3212,9644,21374,161.9996014672919,25850,4480,9644,21374,0.3571428571428571,2.5,3.985327080897605e-4,0.6688,161.9996014672919,25850,4480,9644,21374,0.3571428571428571,2.5,3.985327080897605e-4,0.6688
162.5,1476588517007.8452,1072470404971.2341,404118112036.5976,9540,21428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,989675034191.6747,584633317588.4166,405041716603.26025,9403,21540,162.9998302414162,24919,4314,9403,21540,0.3571428571428571,2.5,1.6975858380874342e-4,0.64625,162.9998302414162,24919,4314,9403,21540,0.3571428571428571,2.5,1.6975858380874342e-4,0.64625
163.5,938430450379.973,594656430067.8729,343774020312.10034,9227,21618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,938628118434.7465,517559049263.71643,421069069171.02686,9141,21626,163.99995557405728,24125,4050,9141,21626,0.3571428571428571,2.5,4.442594271836242e-5,0.622975,163.99995557405728,24125,4050,9141,21626,0.3571428571428571,2.5,4.442594271836242e-5,0.622975
164.5,1014701752138.072,688100481066.8346,326601271071.2388,8955,21721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,1048443232034.8666,616763364714.7715,431679867320.0958,8831,21732,164.99989050676365,23425,3793,8831,21732,0.3571428571428571,2.5,1.0949323635145448e-4,0.603125,164.99989050676365,23425,3793,8831,21732,0.3571428571428571,2.5,1.0949323635145448e-4,0.603125
165.5,910669917143.1306,584355187549.082,326314729594.0483,8674,21730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,856395332980.6173,562118410453.313,294276922527.302,8506,21719,165.99984853806828,22715,3599,8506,21719,0.3571428571428571,2.5,1.514619317219967e-4,0.585625,165.99984853806828,22715,3599,8506,21719,0.3571428571428571,2.5,1.514619317219967e-4,0.585625
